simulator,agents,timestep,interval,rate,delay_type,value,time,feasibility,cycle,execution_time,first_agent_arriving,cycle_count,cycle_agents,unblocked_agents,feasibility_count,feasibility_type_a,feasibility_type_b,feasibility_type_c,average_timestep_time,average_feasibility_time,average_cycle_time,obstacles
online,10,1,10,0.1,agent,56.618947368421054,0.7656520298947369,heuristic,proposed,0.5792629104736843,10.674736842105263,10.635789473684211,42.643157894736845,104.61684210526316,12.227368421052631,0.8341228428576531,0.16587715714234672,0,0.0551560326152533,0.05244833092233063,0.0552188218817591,270.0
default,10,1,10,0.1,agent,57.874736842105264,0.00022062708736842105,heuristic,proposed,,,,,,,0.0,0.0,0,,,,270.0
online,10,1,10,0.1,agent,,,heuristic,semi-naive,,,,,,,0.0,0.0,0,,,,270.0
online,10,1,10,0.1,agent,,,exhaustive,semi-naive,,,,,,,0.0,0.0,0,,,,270.0
online,10,1,10,0.1,agent,,,heuristic,naive,,,,,,,0.0,0.0,0,,,,270.0
online,10,1,10,0.2,agent,71.97263157894737,0.8862955734736843,heuristic,proposed,0.6430406010842105,11.677894736842106,11.561052631578947,41.47263157894737,112.49368421052631,14.206315789473685,0.7620771266324478,0.23792287336755233,0,0.05554003984624073,0.05179589433772777,0.05572800209669091,270.0
default,10,1,10,0.2,agent,73.96947368421053,0.0002336111810526316,heuristic,proposed,,,,,,,0.0,0.0,0,,,,270.0
online,10,1,10,0.2,agent,,,heuristic,semi-naive,,,,,,,0.0,0.0,0,,,,270.0
online,10,1,10,0.2,agent,,,exhaustive,semi-naive,,,,,,,0.0,0.0,0,,,,270.0
online,10,1,10,0.2,agent,,,heuristic,naive,,,,,,,0.0,0.0,0,,,,270.0
online,10,1,10,0.3,agent,86.40526315789474,1.041266692,heuristic,proposed,0.7296548741684211,13.152631578947368,12.890526315789474,41.08,125.21894736842106,16.582105263157896,0.7374122446550154,0.2625877553449846,0,0.05620020663453929,0.05191033723139558,0.056660246166079155,270.0
default,10,1,10,0.3,agent,89.76631578947368,0.0002454145210526316,heuristic,proposed,,,,,,,0.0,0.0,0,,,,270.0
online,10,1,10,0.3,agent,,,heuristic,semi-naive,,,,,,,0.0,0.0,0,,,,270.0
